concept_id,category_id,pref_label,alt_labels_v1,proposed_alt_labels_v2_iter04,final_alt_labels_v2_iter04
individual_characteristics__age,individual_characteristics,Age,,age discrimination at work | age-inclusive workplace | age equality | age diversity | ageism | older workers inclusion,age discrimination at work | age-inclusive workplace | age equality | age diversity | ageism | older workers inclusion
individual_characteristics__disability,individual_characteristics,Disability,,reasonable adjustments | reasonable adjustments at work | workplace adjustments | adjustments for disabled staff | access needs | accessibility needs,reasonable adjustments | reasonable adjustments at work | workplace adjustments | adjustments for disabled staff | access needs | accessibility needs
individual_characteristics__neurodiversity,individual_characteristics,Neurodiversity,,neurodivergent | support for autistic staff | support for ADHD staff | neurodiversity workplace adjustments | neuroinclusion at work,neurodivergent | support for autistic staff | support for ADHD staff | neurodiversity workplace adjustments | neuroinclusion at work
individual_characteristics__pregnancy_and_maternity,individual_characteristics,Pregnancy And Maternity,Pregnancy and Maternity,return to work after maternity | return-to-work support after maternity | pregnancy discrimination | pregnancy discrimination at work | maternity leave policy | parental leave policy,Pregnancy and Maternity | return to work after maternity | return-to-work support after maternity | pregnancy discrimination | pregnancy discrimination at work | maternity leave policy | parental leave policy
individual_characteristics__religion_or_belief,individual_characteristics,Religion Or Belief,Religion or Belief,religion and belief | religious accommodation at work | faith accommodation in workplace,Religion or Belief | religion and belief | religious accommodation at work | faith accommodation in workplace
individual_characteristics__sexual_orientation,individual_characteristics,Sexual Orientation,,LGBTQ+ | LGBTQIA+ | LGBTQ+ inclusion | sexual orientation inclusion | queer inclusion at work,LGBTQ+ | LGBTQIA+ | LGBTQ+ inclusion | sexual orientation inclusion | queer inclusion at work
individual_characteristics__trans_identity,individual_characteristics,Trans Identity,,gender identity | gender transition support | support during gender transition | trans inclusion at work | gender reassignment support | transgender inclusion,gender identity | gender transition support | support during gender transition | trans inclusion at work | gender reassignment support | transgender inclusion
individual_characteristics__socio_economic_background,individual_characteristics,Socio-Economic Background,,socioeconomic background | socio-economic disadvantage | widening participation | first generation academics | social mobility | working-class background,socioeconomic background | socio-economic disadvantage | widening participation | first generation academics | social mobility | working-class background
individual_characteristics__temporary_impairment,individual_characteristics,Temporary Impairment,,temporary impairment adjustments | short-term condition workplace adjustments,temporary impairment adjustments | short-term condition workplace adjustments
individual_characteristics__race,individual_characteristics,Race,,race and ethnicity | ethnic minority inclusion | racial equality,race and ethnicity | ethnic minority inclusion | racial equality
career_pathway__mentorship_sponsorship,career_pathway,Mentorship & Sponsorship,,mentorship programmes | mentoring programmes | career mentoring | career sponsorship schemes | sponsorship programmes,mentorship programmes | mentoring programmes | career mentoring | career sponsorship schemes | sponsorship programmes
career_pathway__career_progression,career_pathway,Career Progression,,promotion equity | fair promotion processes | equitable promotion criteria | transparent promotion criteria | career progression in universities,promotion equity | fair promotion processes | equitable promotion criteria | transparent promotion criteria | career progression in universities
career_pathway__career_retention,career_pathway,Career Retention,,staff retention | academic staff retention | retaining diverse talent | attrition reduction | retention strategy,staff retention | academic staff retention | retaining diverse talent | attrition reduction | retention strategy
career_pathway__leadership_development,career_pathway,Leadership Development,,inclusive leadership development | leadership pipeline development | leadership development programme | inclusive leadership training,inclusive leadership development | leadership pipeline development | leadership development programme | inclusive leadership training
career_pathway__recruitment_strategies,career_pathway,Recruitment Strategies,,inclusive recruitment | inclusive hiring practices | bias-free hiring process | fair recruitment process | diverse recruitment,inclusive recruitment | inclusive hiring practices | bias-free hiring process | fair recruitment process | diverse recruitment
research_funding_process__bias_mitigation,research_funding_process,Bias Mitigation,,bias reduction strategies | bias mitigation in funding | grant application bias reduction,bias reduction strategies | bias mitigation in funding | grant application bias reduction
research_funding_process__peer_review,research_funding_process,Peer Review,,peer review bias | reviewer bias | equitable peer review | fair peer review | inclusive peer review training,peer review bias | reviewer bias | equitable peer review | fair peer review | inclusive peer review training
research_funding_process__panel_diversity,research_funding_process,Panel Diversity,,review panel diversity | committee diversity | diverse funding panels | panel composition,review panel diversity | committee diversity | diverse funding panels | panel composition
research_funding_process__application_support,research_funding_process,Application Support,,grant writing guidance | grant application guidance | proposal writing support | funding application guidance,grant writing guidance | grant application guidance | proposal writing support | funding application guidance
research_funding_process__transparency_and_accessiblity_of_process,research_funding_process,Transparency And Accessiblity Of Process,Transparency and Accessiblity of Process,transparent funding allocation processes | transparency of funding process | transparent funding process | accessible funding process,Transparency and Accessiblity of Process | transparent funding allocation processes | transparency of funding process | transparent funding process | accessible funding process
organisational_culture__inclusive_language,organisational_culture,Inclusive Language,Inclusive language,inclusive language policy | inclusive communications guidance | inclusive wording | inclusive terminology | gender-inclusive language,Inclusive language | inclusive language policy | inclusive communications guidance | inclusive wording | inclusive terminology | gender-inclusive language
organisational_culture__work_life_balance,organisational_culture,Work-Life Balance,,work life balance academic staff support | flexible working policy | hybrid working policy | family friendly policies,work life balance academic staff support | flexible working policy | hybrid working policy | family friendly policies
organisational_culture__bullying_and_microagression_prevention,organisational_culture,Bullying And Microagression Prevention,Bullying and Microagression Prevention,microaggressions | microaggressions at work | bullying prevention | anti-bullying policy | civility at work,Bullying and Microagression Prevention | microaggressions | microaggressions at work | bullying prevention | anti-bullying policy | civility at work
organisational_culture__bias,organisational_culture,Bias,,implicit bias | unconscious bias | bias awareness,implicit bias | unconscious bias | bias awareness
organisational_culture__data_collection_monitoring,organisational_culture,Data Collection & Monitoring,,data monitoring diversity metrics | workforce diversity metrics | EDI metrics monitoring,data monitoring diversity metrics | workforce diversity metrics | EDI metrics monitoring
organisational_culture__policy_review_reform,organisational_culture,Policy Review & Reform,,inclusive policy reform | institutional change | strategy and policy review,inclusive policy reform | institutional change | strategy and policy review
organisational_culture__inclusive_leadership,organisational_culture,Inclusive Leadership,,inclusive management | inclusive leadership behaviours | inclusive management training,inclusive management | inclusive leadership behaviours | inclusive management training
